File,V,E,TalgoLi&,TalgoA,TalgoX,NBalgoLi&,NBalgoA,NBalgoX
tests14_540.point,540,2095,0.0175,2.3374,0,178,153,0
tests10_690.point,690,3420,0.0267,4.7935,0,172,156,0
tests2_760.point,760,4241,0.0371,5.5323,0,177,155,0
tests19_800.point,800,4613,0.0347,6.3371,0,178,158,0
tests2_700.point,700,3616,0.0302,4.5661,0,177,161,0
tests6_940.point,940,6308,0.0455,9.3979,0,174,163,0
tests4_760.point,760,4089,0.0314,5.3204,0,174,160,0
tests9_760.point,760,4013,0.0332,5.4248,0,179,157,0
tests1_620.point,620,2768,0.1063,5.0973,0,174,158,0
tests8_510.point,510,1965,0.0157,3.3324,0,165,152,0
tests14_710.point,710,3601,0.0322,4.9264,0,171,161,0
tests13_550.point,550,2189,0.0198,2.3365,0,169,154,0
tests3_940.point,940,6472,0.0501,10.9353,0,176,160,0
tests0_590.point,590,2445,0.0239,2.7775,0,171,158,0
tests0_530.point,530,2178,0.0144,2.1896,0,167,151,0
tests18_940.point,940,6166,0.0459,11.0993,0,172,172,0
tests11_500.point,500,1788,0.0142,1.8716,0,177,160,0
tests15_930.point,930,6234,0.0459,9.3921,0,179,168,0
tests13_840.point,840,5037,0.0392,7.3322,0,178,166,0
tests9_610.point,610,2669,0.0259,2.9108,0,171,165,0
tests10_940.point,940,6408,0.0558,10.975,0,164,157,0
tests0_640.point,640,3012,0.0234,4.2495,0,169,153,0
tests11_610.point,610,2820,0.0222,3.0664,0,175,161,0
tests6_830.point,830,5020,0.0368,6.9371,0,174,157,0
tests11_700.point,700,3672,0.0287,4.3859,0,173,159,0
tests19_630.point,630,2828,0.0245,3.3152,0,173,160,0
tests18_760.point,760,4216,0.0342,5.4045,0,165,156,0
tests17_960.point,960,6698,0.0511,10.1479,0,176,167,0
tests19_930.point,930,6150,0.0524,9.2525,0,182,163,0
tests12_700.point,700,3687,0.0298,4.4595,0,173,159,0
