File,V,E,TalgoLi&,TalgoA,TalgoX,NBalgoLi&,NBalgoA,NBalgoX
input1184,1184,11851,0.0568,16.6385,0,160,158,0
input532,532,2379,0.0128,1.7218,0,152,138,0
input910,910,6956,0.0336,7.5392,0,155,144,0
input1334,1334,15101,0.0737,23.0043,0,164,162,0
input394,394,1393,0.0072,0.8302,0,134,122,0
input1362,1362,15865,0.1507,25.6267,0,173,156,0
input481,481,1962,0.0123,1.6341,0,151,137,0
input594,594,3014,0.0156,2.3971,0,155,137,0
input672,672,3844,0.0192,3.2111,0,152,139,0
input985,985,8234,0.0416,9.4348,0,159,151,0
input526,526,2435,0.0117,1.7094,0,154,133,0
input1225,1225,12946,0.0574,18.8296,0,158,145,0
input497,497,2146,0.0122,1.4639,0,148,131,0
input1195,1195,12031,0.059,18.3235,0,158,155,0
input1372,1372,16170,0.0859,32.6302,0,161,155,0
input1161,1161,11901,0.0503,16.4098,0,162,157,0
input358,358,1271,0.0061,0.6797,0,118,111,0
input1164,1164,11567,0.0568,15.6993,0,160,152,0
input738,738,4481,0.0236,4.152,0,163,156,0
input970,970,7962,0.0376,9.234,0,156,152,0
input744,744,4828,0.0231,4.4567,0,147,136,0
input1377,1377,16348,0.0732,26.4553,0,161,160,0
input1124,1124,10620,0.0492,14.1988,0,164,148,0
input544,544,2631,0.0135,1.9098,0,143,139,0
input1092,1092,10339,0.0475,17.1228,0,160,160,0
input446,446,1805,0.0114,1.248,0,142,122,0
input907,907,7062,0.0314,10.2324,0,153,147,0
input805,805,5633,0.0546,6.9511,0,156,143,0
input1021,1021,9164,0.046,13.3814,0,165,153,0
input925,925,7212,0.0397,10.1646,0,156,152,0
input559,559,2649,0.0145,2.3341,0,157,129,0
input575,575,2658,0.0151,2.1247,0,159,141,0
input1350,1350,15620,0.0921,31.2341,0,163,154,0
input1067,1067,9657,0.0627,17.0041,0,166,150,0
input1081,1081,9637,0.087,17.0025,0,159,153,0
input743,743,4521,0.0314,6.296,0,162,146,0
input1229,1229,12601,0.0712,24.6108,0,169,158,0
input421,421,1599,0.0108,1.2687,0,139,126,0
input1213,1213,12638,0.0729,22.1874,0,159,146,0
input1248,1248,13175,0.0871,25.6637,0,161,155,0
input1027,1027,8816,0.078,17.5752,0,161,150,0
input624,624,3354,0.0233,3.9399,0,160,140,0
input1324,1324,15227,0.0818,33.3248,0,173,156,0
input889,889,6659,0.0457,8.4072,0,168,150,0
input1396,1396,16447,0.1153,40.4281,0,164,161,0
