File,V,E,TalgoLi&,TalgoA,TalgoX,NBalgoLi&,NBalgoA,NBalgoX
tests2_760.point,760,4104,0.0286,4.6764,0,169,157,0
tests19_800.point,800,4604,0.0297,5.5399,0,182,164,0
tests2_700.point,700,3501,0.0212,3.5903,0,166,157,0
tests6_940.point,940,6294,0.042,8.809,0,179,167,0
tests4_760.point,760,4105,0.0547,4.9133,0,182,165,0
tests9_760.point,760,4319,0.0305,8.6309,0,164,163,0
tests1_620.point,620,2739,0.0177,2.7849,0,169,157,0
tests8_510.point,510,1880,0.013,1.9529,0,172,153,0
tests14_710.point,710,3580,0.0232,4.8737,0,179,166,0
tests13_550.point,550,2163,0.0136,1.9314,0,175,159,0
tests3_940.point,940,6318,0.0423,10.4943,0,186,155,0
tests0_590.point,590,2587,0.0464,4.4381,0,166,158,0
tests0_530.point,530,2064,0.0322,4.6478,0,173,160,0
tests18_940.point,940,6252,0.131,9.5006,0,169,154,0
tests11_500.point,500,1801,0.0126,2.9715,0,169,154,0
tests15_930.point,930,6133,0.0381,13.8553,0,177,161,0
tests13_840.point,840,5160,0.0348,6.8005,0,175,167,0
tests9_610.point,610,2695,0.0176,2.7029,0,165,155,0
tests10_940.point,940,6294,0.0396,8.8871,0,185,164,0
tests0_640.point,640,3001,0.0203,3.1317,0,169,154,0
tests11_610.point,610,2648,0.0182,2.6654,0,175,162,0
tests6_830.point,830,4950,0.0332,5.8144,0,177,163,0
tests11_700.point,700,3481,0.024,3.6728,0,169,159,0
tests19_630.point,630,2866,0.0203,2.6831,0,174,162,0
tests18_760.point,760,4201,0.026,4.5479,0,174,155,0
tests17_960.point,960,6590,0.0883,8.9591,0,175,166,0
tests12_700.point,700,3591,0.0469,3.9313,0,169,163,0
tests3_850.point,850,5174,0.043,7.2489,0,179,166,0
tests10_840.point,840,5116,0.061,8.4254,0,178,155,0
tests15_950.point,950,6552,0.0429,17.035,0,180,160,0
tests9_920.point,920,6105,0.037,7.4831,0,183,177,0
tests0_710.point,710,3651,0.0215,4.3314,0,172,164,0
tests1_660.point,660,3087,0.022,5.1247,0,174,153,0
tests5_880.point,880,5777,0.0502,7.6142,0,167,167,0
tests5_770.point,770,4161,0.027,4.8691,0,178,166,0
tests15_960.point,960,6636,0.0453,10.6433,0,178,169,0
tests14_830.point,830,4936,0.0387,6.5675,0,177,156,0
tests19_750.point,750,4000,0.027,4.6026,0,181,166,0
tests15_770.point,770,4356,0.0891,12.3643,0,175,158,0
tests6_630.point,630,2779,0.0475,7.1644,0,168,154,0
tests18_780.point,780,4486,0.0331,12.137,0,167,153,0
tests16_650.point,650,2967,0.0511,4.7688,0,171,160,0
tests7_540.point,540,2106,0.0152,2.3811,0,172,157,0
tests14_570.point,570,2460,0.0151,2.4273,0,182,163,0
tests6_900.point,900,5823,0.1051,9.1251,0,177,162,0
tests12_960.point,960,6666,0.0429,12.5921,0,184,165,0
tests13_650.point,650,3141,0.0217,3.7632,0,175,157,0
tests4_780.point,780,4465,0.0279,5.7467,0,172,162,0
tests3_730.point,730,3782,0.0653,8.8317,0,176,155,0
tests6_840.point,840,4996,0.0342,11.8474,0,178,161,0
tests9_580.point,580,2297,0.0307,2.3397,0,189,164,0
tests8_790.point,790,4638,0.0292,6.2389,0,162,161,0
tests9_830.point,830,4996,0.058,7.3266,0,168,158,0
tests1_610.point,610,2675,0.0546,6.3136,0,184,148,0
tests13_810.point,810,4856,0.0904,13.1943,0,177,166,0
tests1_850.point,850,5298,0.0893,15.5379,0,170,162,0
tests0_740.point,740,3875,0.0878,11.0749,0,176,165,0
tests15_790.point,790,4522,0.0848,14.0148,0,174,169,0
tests11_860.point,860,5288,0.1179,17.12,0,171,159,0
tests4_830.point,830,4910,0.0968,14.0162,0,175,165,0
tests4_650.point,650,2972,0.0496,7.8612,0,181,161,0
tests11_620.point,620,2850,0.0403,6.8462,0,168,154,0
tests19_770.point,770,4345,0.0716,13.5807,0,162,154,0
tests0_940.point,940,6218,0.0882,18.3586,0,179,166,0
tests9_820.point,820,4850,0.0757,13.4406,0,167,159,0
tests6_930.point,930,6359,0.0921,19.4237,0,169,161,0
tests17_590.point,590,2507,0.0567,5.5133,0,175,157,0
tests10_1000.point,1000,7156,0.0433,12.5262,0,171,167,0
tests10_720.point,720,3716,0.0231,4.0648,0,167,156,0
tests2_550.point,550,2199,0.0141,2.0537,0,174,155,0
tests10_570.point,570,2364,0.0155,2.1496,0,172,154,0
tests12_550.point,550,2131,0.014,1.7544,0,176,153,0
tests17_810.point,810,4816,0.0284,5.2415,0,177,165,0
tests10_970.point,970,6722,0.0422,8.2215,0,176,172,0
tests9_710.point,710,3650,0.0229,3.6324,0,168,155,0
tests13_510.point,510,1909,0.012,1.7026,0,163,145,0
tests16_610.point,610,2684,0.0195,2.4911,0,165,151,0
tests9_740.point,740,3901,0.0241,4.1491,0,181,163,0
tests6_950.point,950,6466,0.0434,8.0542,0,175,161,0
tests3_890.point,890,5836,0.0352,7.2969,0,176,160,0
tests16_920.point,920,6082,0.0358,7.7411,0,177,162,0
tests13_760.point,760,4078,0.0245,4.2152,0,184,165,0
tests13_540.point,540,2103,0.0143,1.7215,0,170,138,0
tests5_510.point,510,1806,0.0122,1.5179,0,173,150,0
tests13_860.point,860,5288,0.093,9.8994,0,171,166,0
tests18_710.point,710,3617,0.0229,3.9608,0,174,156,0
tests17_790.point,790,4500,0.0273,5.0806,0,178,156,0
tests1_980.point,980,6792,0.0598,8.8519,0,181,166,0
tests9_630.point,630,2959,0.0172,2.738,0,163,158,0
tests11_760.point,760,4078,0.0339,4.3383,0,179,168,0
tests5_530.point,530,2064,0.0137,1.8052,0,177,155,0
tests14_940.point,940,6557,0.0378,8.2242,0,176,160,0
tests12_920.point,920,6052,0.0388,7.4752,0,174,168,0
tests14_930.point,930,6253,0.1542,10.4064,0,178,164,0
tests14_600.point,600,2635,0.0251,5.1187,0,164,152,0
tests9_550.point,550,2142,0.0178,4.8378,0,175,160,0
tests18_790.point,790,4584,0.028,5.5226,0,177,152,0
tests13_800.point,800,4630,0.0293,5.1666,0,177,166,0
tests13_850.point,850,5179,0.0307,6.047,0,171,158,0
tests3_620.point,620,2859,0.0163,2.5449,0,172,154,0
tests5_870.point,870,5428,0.0317,6.228,0,177,158,0
tests13_500.point,500,1832,0.0107,1.5014,0,170,153,0
tests2_1000.point,1000,7184,0.0463,10.2062,0,185,175,0
tests0_570.point,570,2296,0.0151,2.1046,0,168,146,0
tests0_960.point,960,6587,0.0468,11.3953,0,177,165,0
tests2_690.point,690,3558,0.0212,3.7387,0,166,154,0
tests8_550.point,550,2125,0.0138,1.7975,0,172,160,0
tests12_770.point,770,4234,0.0262,4.3346,0,167,164,0
tests5_820.point,820,4861,0.0317,5.2686,0,174,161,0
tests1_630.point,630,2821,0.0179,2.6351,0,179,161,0
tests3_840.point,840,5217,0.0306,5.7758,0,167,157,0
tests1_920.point,920,6028,0.0367,7.5279,0,169,160,0
tests3_790.point,790,4521,0.0239,5.589,0,170,159,0
tests16_600.point,600,2478,0.0204,2.4931,0,182,161,0
tests4_890.point,890,5887,0.0902,12.6341,0,173,165,0
tests11_550.point,550,2241,0.0319,4.3882,0,170,145,0
tests9_560.point,560,2151,0.0326,4.6891,0,169,152,0
